data_source,threshold,min_num,run_times,csi_time,my_method_time,mean_error,max_error
Two_Patterns_TRAIN.csv[480],0.02,4,10,0.3227019999999925,0.09476600000004964,7.165645258115153e-10,9.501740281965834e-09
Two_Patterns_TRAIN.csv[481],0.02,4,10,0.360670999999968,0.1297700000000077,1.0442239565666177e-09,2.3483851710983534e-08
Two_Patterns_TRAIN.csv[482],0.02,4,10,0.327241000000015,0.09568799999999555,8.367518711890112e-10,4.6214282348345486e-08
Two_Patterns_TRAIN.csv[483],0.02,4,10,0.33168399999999565,0.10738600000001952,2.355944699036526e-09,1.1399407964907698e-07
Two_Patterns_TRAIN.csv[484],0.02,4,10,0.3288400000000138,0.11621999999999844,6.447900694706917e-10,1.1330693573810736e-08
Two_Patterns_TRAIN.csv[485],0.02,4,10,0.31992300000001705,0.12546200000002727,1.1727214097287794e-09,3.7996540019867176e-08
Two_Patterns_TRAIN.csv[486],0.02,4,10,0.3252750000000333,0.11304400000000214,1.2725784833333893e-08,1.407427841174583e-06
Two_Patterns_TRAIN.csv[487],0.02,4,10,0.3328470000000152,0.09451400000000376,2.098664587896714e-09,8.156617274633277e-08
Two_Patterns_TRAIN.csv[488],0.02,4,10,0.3291680000000383,0.11607600000002094,8.978442610067903e-10,1.2079201779933194e-08
Two_Patterns_TRAIN.csv[489],0.02,4,10,0.32355799999999135,0.0971230000000105,1.749389427201248e-09,8.361967497366817e-08
Two_Patterns_TRAIN.csv[490],0.02,4,10,0.32778600000000324,0.12852600000002212,3.982441726236925e-09,2.3989249697533045e-07
Two_Patterns_TRAIN.csv[491],0.02,4,10,0.3276070000000004,0.1097740000000158,1.961294304353192e-09,9.603157932516588e-08
Two_Patterns_TRAIN.csv[492],0.02,4,10,0.32354399999996986,0.12414799999999104,8.930590605596551e-10,1.9505607897380592e-08
Two_Patterns_TRAIN.csv[493],0.02,4,10,0.3364949999999567,0.15107399999999416,1.2161869667986392e-09,4.954107117821762e-08
Two_Patterns_TRAIN.csv[494],0.02,4,10,0.32595699999995986,0.09000800000001163,1.6236291558425037e-09,7.328302683858948e-08
Two_Patterns_TRAIN.csv[495],0.02,4,10,0.32735099999996464,0.11922399999997424,1.2492162694005127e-09,3.592233827552264e-08
Two_Patterns_TRAIN.csv[496],0.02,4,10,0.32426299999997354,0.11247600000001512,1.3059623834949038e-09,2.422179327698991e-08
Two_Patterns_TRAIN.csv[497],0.02,4,10,0.3150410000000079,0.1158439999999814,1.5742105919541522e-09,7.033686567938352e-08
Two_Patterns_TRAIN.csv[498],0.02,4,10,0.32681400000001304,0.1042770000000246,6.165981155674731e-10,9.4276141594041e-09
Two_Patterns_TRAIN.csv[499],0.02,4,10,0.32712299999997185,0.09013699999997016,5.566328959365677e-09,1.964815407467974e-07
Two_Patterns_TRAIN.csv[500],0.02,4,10,0.3191800000000171,0.10187599999994745,7.911646244779021e-10,1.4027970488191357e-08
Two_Patterns_TRAIN.csv[501],0.02,4,10,0.3289549999999508,0.09770800000001145,1.3639634687781815e-09,2.4537546760551084e-08
Two_Patterns_TRAIN.csv[502],0.02,4,10,0.32133800000002566,0.12647500000002765,5.482760698378093e-10,7.145697481044814e-09
Two_Patterns_TRAIN.csv[503],0.02,4,10,0.3285229999999615,0.11897600000003195,1.1125334435878522e-09,6.38370239077315e-08
Two_Patterns_TRAIN.csv[504],0.02,4,10,0.33000999999995884,0.09944799999999532,3.0809165158298016e-09,2.1154642046400644e-07
Two_Patterns_TRAIN.csv[505],0.02,4,10,0.3414579999999887,0.11366699999996399,1.6622873239884795e-09,1.4372262407387298e-07
Two_Patterns_TRAIN.csv[506],0.02,4,10,0.3190010000000143,0.11216800000005378,1.1821938157875055e-09,3.3491175756175486e-08
Two_Patterns_TRAIN.csv[507],0.02,4,10,0.32209499999999025,0.10069599999997081,2.1836226087398575e-09,1.0176811930480163e-07
Two_Patterns_TRAIN.csv[508],0.02,4,10,0.3237680000000296,0.09923699999995961,4.633893766365416e-09,1.6187311493996678e-07
